Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
06/06/2026 21:41:15,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,688944
06/06/2026 21:41:15,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,54432
06/06/2026 21:41:15,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,148074688
06/06/2026 21:41:15,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
06/06/2026 21:41:15,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,19
06/06/2026 21:41:15,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.003792999999999991
06/06/2026 21:41:15,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.06540699999999999
06/06/2026 21:41:15,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
06/06/2026 21:41:15,System.Runtime,dotnet.assembly.count ({assembly}),Metric,54
06/06/2026 21:41:15,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,314
06/06/2026 21:41:15,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,293128
06/06/2026 21:41:15,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
06/06/2026 21:41:15,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,59248
06/06/2026 21:41:15,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,9016
06/06/2026 21:41:15,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
06/06/2026 21:41:15,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
06/06/2026 21:41:15,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
