"File","Line","Pattern","Code"
"Nalix.Network\Internal\Transport\SocketConnection.Send.VarInt.cs","245","throw;","throw;"
"Nalix.Network\Internal\Transport\SocketConnection.Send.VarInt.cs","257","Throw\.","return Throw.GetSendFailed();"
"Nalix.Network\Internal\Transport\SocketEndpoint.cs","227","throw new","private static Exception ThrowInvalidEndpointType() => throw new ArgumentException(""Endpoint must be of type IPEndPoint."", ""endpoint"");"
"Nalix.Network\Internal\Transport\SocketTcpTransport.cs","120","throw new","throw new ArgumentException(""Message must not be empty."", nameof(message));"
"Nalix.Network\Internal\Transport\SocketTcpTransport.cs","133","throw new","throw new ArgumentException(""Message must not be empty."", nameof(message));"
"Nalix.Network\Internal\Transport\SocketUdpTransport.cs","164","catch\s*\(\s*Exception","catch (Exception ex) when (ex is SocketException or NotSupportedException or ObjectDisposedException or InvalidOperationException)"
"Nalix.Network\Internal\Transport\SocketUdpTransport.cs","185","catch\s*\(\s*SocketException","catch (SocketException ex)"
"Nalix.Network\Internal\Transport\SocketUdpTransport.cs","209","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException ex)"
"Nalix.Network\Internal\Transport\SocketUdpTransport.cs","241","catch\s*\(\s*Exception","catch (Exception ex) when (ex is SocketException or NotSupportedException or ObjectDisposedException)"
"Nalix.Network\Internal\Transport\SocketUdpTransport.cs","271","Throw\.","Throw.UdpPayloadTooLargeNow();"
"Nalix.Network\Internal\Transport\SocketUdpTransport.cs","279","Throw\.","Throw.UdpPartialSendNow();"
"Nalix.Network\Internal\Transport\SocketUdpTransport.cs","283","catch\s*\(\s*Exception","catch (Exception ex) when (ex is not NetworkException)"
"Nalix.Network\Internal\Transport\SocketUdpTransport.cs","285","Throw\.","Throw.UdpSendFailedNow();"
"Nalix.Network\Internal\Transport\SocketUdpTransport.cs","299","Throw\.","Throw.UdpPayloadTooLargeNow();"
"Nalix.Network\Internal\Transport\SocketUdpTransport.cs","307","Throw\.","Throw.UdpPartialSendNow();"
"Nalix.Network\Internal\Transport\SocketUdpTransport.cs","311","throw;","catch (OperationCanceledException) { throw; }"
"Nalix.Network\Internal\Transport\SocketUdpTransport.cs","312","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Internal\Transport\SocketUdpTransport.cs","314","Throw\.","Throw.UdpSendFailedNow();"
"Nalix.Network\Internal\Transport\WebSocketTransport.cs","49","throw new","_owner = owner ?? throw new ArgumentNullException(nameof(owner));"
"Nalix.Network\Internal\Transport\WebSocketTransport.cs","71","Throw\.","public void Send(ReadOnlySpan<byte> message) => Throw.WebSocketSyncSendNotSupported();"
"Nalix.Network\Internal\Transport\WebSocketTransport.cs","79","Throw\.","Throw.WebSocketClosed();"
"Nalix.Network\Internal\Transport\WebSocketTransport.cs","127","Throw\.","Throw.WebSocketInvalidReceiveBuffer();"
"Nalix.Network\Internal\Transport\WebSocketTransport.cs","158","Throw\.","Throw.WebSocketMessageTooLarge();"
"Nalix.Network\Internal\Transport\WebSocketTransport.cs","187","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Internal\Transport\WebSocketTransport.cs","205","Throw\.","Throw.WebSocketMessageTooLarge();"
"Nalix.Network\Internal\Transport\WebSocketTransport.cs","230","Throw\.","Throw.WebSocketMessageTooLarge();"
"Nalix.Network\Listeners\TcpListener\TcpListener.Core.cs","179","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException ex)"
"Nalix.Network\Listeners\TcpListener\TcpListener.Core.cs","186","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.Core.cs","199","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException ex)"
"Nalix.Network\Listeners\TcpListener\TcpListener.Core.cs","206","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.Core.cs","226","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.Core.cs","241","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.Core.cs","254","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException ex)"
"Nalix.Network\Listeners\TcpListener\TcpListener.Core.cs","261","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.Core.cs","289","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException ex)"
"Nalix.Network\Listeners\TcpListener\TcpListener.Core.cs","300","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.Core.cs","359","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException ex)"
"Nalix.Network\Listeners\TcpListener\TcpListener.Core.cs","366","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.Core.cs","378","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException ex)"
"Nalix.Network\Listeners\TcpListener\TcpListener.Core.cs","385","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.Core.cs","397","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException ex)"
"Nalix.Network\Listeners\TcpListener\TcpListener.Core.cs","404","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.Core.cs","419","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException ex)"
"Nalix.Network\Listeners\TcpListener\TcpListener.Core.cs","426","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.Core.cs","438","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","61","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","200","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","210","throw;","throw;"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","247","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","257","throw;","throw;"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","282","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","377","Throw\.","Throw.TryAcceptContextNotBound();"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","434","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException)"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","453","catch\s*\(\s*NetworkException","catch (NetworkException)"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","466","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","630","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException)"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","635","catch\s*\(\s*SocketException","catch (SocketException ex) when (ex.SocketErrorCode is"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","643","catch\s*\(\s*Exception","catch (Exception ex) when (!cancellationToken.IsCancellationRequested)"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","740","catch\s*\(\s*NetworkException","catch (NetworkException)"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","753","catch\s*\(\s*SocketException","catch (SocketException ex) when (IsIgnorableAcceptError(ex.SocketErrorCode, cancellationToken))"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","772","catch\s*\(\s*Exception","catch (Exception ex) when (!cancellationToken.IsCancellationRequested)"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","868","throw new","throw new InternalErrorException(""Socket is not initialized."");"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","879","Throw\.","Throw.ProcessChannelFull();"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","888","Throw\.","Throw.InvalidSocket();"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","897","Throw\.","Throw.ConnectionRejectedByLimiter();"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","905","Throw\.","Throw.ConnectionRejectedByLimiter();"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","920","Throw\.","Throw.ConnectionRejectedByLimiter();"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","929","catch\s*\(\s*SocketException","catch (SocketException ex)"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","931","throw new","throw new NetworkException($""Socket error while accepting. Code={ex.SocketErrorCode}"", ex);"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","935","throw;","throw;"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","937","catch\s*\(\s*NetworkException","catch (NetworkException)"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","939","throw;","throw;"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","941","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","948","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException ode)"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","955","catch\s*\(\s*Exception","catch (Exception lookupEx) when (ExceptionClassifier.IsNonFatal(lookupEx))"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","962","throw new","throw new NetworkException($""TryAccept failed. Listener={remote}"", ex);"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","1026","Throw\.","Throw.InvalidSocket();"
"Nalix.Network\Listeners\TcpListener\TcpListener.Handle.cs","1035","Throw\.","Throw.ConnectionRejectedByLimiter();"
"Nalix.Network\Listeners\TcpListener\TcpListener.ProcessChannel.cs","219","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.ProcessChannel.cs","263","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.ProxyProtocol.cs","221","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.ProxyProtocol.cs","260","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException)"
"Nalix.Network\Listeners\TcpListener\TcpListener.ProxyProtocol.cs","267","catch\s*\(\s*SocketException","catch (SocketException ex) when ("
"Nalix.Network\Listeners\TcpListener\TcpListener.ProxyProtocol.cs","278","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.ProxyProtocol.cs","336","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.PublicMethods.cs","48","throw new","throw new InternalErrorException(""_config.MaxParallel must be at least 1."");"
"Nalix.Network\Listeners\TcpListener\TcpListener.PublicMethods.cs","108","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.PublicMethods.cs","163","catch\s*\(\s*SocketException","catch (SocketException ex)"
"Nalix.Network\Listeners\TcpListener\TcpListener.PublicMethods.cs","172","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.PublicMethods.cs","236","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException ex)"
"Nalix.Network\Listeners\TcpListener\TcpListener.PublicMethods.cs","243","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.PublicMethods.cs","255","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException ex)"
"Nalix.Network\Listeners\TcpListener\TcpListener.PublicMethods.cs","262","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.PublicMethods.cs","274","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException ex)"
"Nalix.Network\Listeners\TcpListener\TcpListener.PublicMethods.cs","281","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.PublicMethods.cs","319","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException ex)"
"Nalix.Network\Listeners\TcpListener\TcpListener.PublicMethods.cs","326","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.SocketConfig.cs","82","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.SocketConfig.cs","95","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException closeEx)"
"Nalix.Network\Listeners\TcpListener\TcpListener.SocketConfig.cs","102","catch\s*\(\s*Exception","catch (Exception closeEx) when (ExceptionClassifier.IsNonFatal(closeEx))"
"Nalix.Network\Listeners\TcpListener\TcpListener.SocketConfig.cs","114","catch\s*\(\s*Exception","catch (Exception disposeEx) when (ExceptionClassifier.IsNonFatal(disposeEx))"
"Nalix.Network\Listeners\TcpListener\TcpListener.SocketConfig.cs","273","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\TcpListener\TcpListener.SocketConfig.cs","311","catch\s*\(\s*SocketException","catch (SocketException ex) when (ex.SocketErrorCode is SocketError.OperationNotSupported or SocketError.ProtocolNotSupported)"
"Nalix.Network\Listeners\TcpListener\TcpListener.SocketConfig.cs","319","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex)) { /* Ignore if not supported. */ }"
"Nalix.Network\Listeners\TcpListener\TcpListener.SocketConfig.cs","329","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex)) { /* Ignore if not supported. */ }"
"Nalix.Network\Listeners\TcpListener\TcpListener.SocketConfig.cs","339","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex)) { /* Ignore if not supported. */ }"
"Nalix.Network\Listeners\UdpListener\UdpListener.Core.cs","190","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException ex)"
"Nalix.Network\Listeners\UdpListener\UdpListener.Core.cs","197","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\UdpListener\UdpListener.Core.cs","213","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException ex)"
"Nalix.Network\Listeners\UdpListener\UdpListener.Core.cs","220","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\UdpListener\UdpListener.PublicMethods.cs","138","catch\s*\(\s*SocketException","catch (SocketException ex)"
"Nalix.Network\Listeners\UdpListener\UdpListener.PublicMethods.cs","147","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\UdpListener\UdpListener.PublicMethods.cs","208","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException)"
"Nalix.Network\Listeners\UdpListener\UdpListener.PublicMethods.cs","215","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\UdpListener\UdpListener.PublicMethods.cs","228","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException)"
"Nalix.Network\Listeners\UdpListener\UdpListener.PublicMethods.cs","235","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\UdpListener\UdpListener.PublicMethods.cs","259","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\UdpListener\UdpListener.PublicMethods.cs","272","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException)"
"Nalix.Network\Listeners\UdpListener\UdpListener.PublicMethods.cs","279","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\UdpListener\UdpListener.PublicMethods.cs","291","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException)"
"Nalix.Network\Listeners\UdpListener\UdpListener.PublicMethods.cs","298","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\UdpListener\UdpListener.Receive.cs","104","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException ex) when (Volatile.Read(ref _isDisposed) != 0 || cancellationToken.IsCancellationRequested)"
"Nalix.Network\Listeners\UdpListener\UdpListener.Receive.cs","111","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException ex)"
"Nalix.Network\Listeners\UdpListener\UdpListener.Receive.cs","120","catch\s*\(\s*Exception","catch (Exception ex) when (!cancellationToken.IsCancellationRequested)"
"Nalix.Network\Listeners\UdpListener\UdpListener.Receive.cs","197","catch\s*\(\s*SocketException","catch (SocketException ex)"
"Nalix.Network\Listeners\UdpListener\UdpListener.Receive.cs","204","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException ex)"
"Nalix.Network\Listeners\UdpListener\UdpListener.Receive.cs","269","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\UdpListener\UdpListener.SocketConfig.cs","39","catch\s*\(\s*Exception","catch (Exception ex) when (ex is SocketException or NotSupportedException or ObjectDisposedException or InvalidOperationException)"
"Nalix.Network\Listeners\UdpListener\UdpListener.SocketConfig.cs","97","catch\s*\(\s*SocketException","catch (SocketException)"
"Nalix.Network\Listeners\UdpListener\UdpListener.SocketConfig.cs","101","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException)"
"Nalix.Network\Listeners\UdpListener\UdpListener.SocketConfig.cs","119","catch\s*\(\s*SocketException","catch (SocketException ex)"
"Nalix.Network\Listeners\UdpListener\UdpPassthroughListener.cs","251","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\WebListener\WebSocketListener.Core.cs","161","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex)) { }"
"Nalix.Network\Listeners\WebListener\WebSocketListener.Core.cs","171","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex)) { }"
"Nalix.Network\Listeners\WebListener\WebSocketListener.Core.cs","185","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex)) { }"
"Nalix.Network\Listeners\WebListener\WebSocketListener.Core.cs","194","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex)) { }"
"Nalix.Network\Listeners\WebListener\WebSocketListener.Core.cs","198","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex)) { }"
"Nalix.Network\Listeners\WebListener\WebSocketListener.Core.cs","206","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex)) { }"
"Nalix.Network\Listeners\WebListener\WebSocketListener.Core.cs","243","catch\s*\(\s*Exception","try { _cancelReg.Dispose(); } catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex)) { }"
"Nalix.Network\Listeners\WebListener\WebSocketListener.Core.cs","244","catch\s*\(\s*Exception","try { _cts?.Cancel(); } catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex)) { }"
"Nalix.Network\Listeners\WebListener\WebSocketListener.Core.cs","245","catch\s*\(\s*Exception","try { _cts?.Dispose(); } catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex)) { }"
"Nalix.Network\Listeners\WebListener\WebSocketListener.Core.cs","257","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex)) { }"
"Nalix.Network\Listeners\WebListener\WebSocketListener.Handle.cs","89","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\WebListener\WebSocketListener.Handle.cs","183","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\WebListener\WebSocketListener.Handle.cs","203","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\WebListener\WebSocketListener.Handle.cs","295","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\WebListener\WebSocketListener.Handle.cs","323","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\WebListener\WebSocketListener.PublicMethods.cs","95","throw new","throw new InternalErrorException(""_config.MaxParallel must be at least 1."");"
"Nalix.Network\Listeners\WebListener\WebSocketListener.PublicMethods.cs","128","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Listeners\WebListener\WebSocketListener.PublicMethods.cs","172","catch\s*\(\s*Exception","try { _cancelReg.Dispose(); } catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex)) { }"
"Nalix.Network\Listeners\WebListener\WebSocketListener.PublicMethods.cs","173","catch\s*\(\s*Exception","try { cts?.Cancel(); } catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex)) { }"
"Nalix.Network\Listeners\WebListener\WebSocketListener.PublicMethods.cs","182","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex)) { }"
"Nalix.Network\Listeners\WebListener\WebSocketListener.PublicMethods.cs","208","catch\s*\(\s*Exception","try { cts?.Dispose(); } catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex)) { }"
"Nalix.Network\Listeners\WebListener\WebSocketListener.PublicMethods.cs","220","catch\s*\(\s*Exception","try { _listener.Close(); } catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex)) { }"
"Nalix.Network\Options\ConnectionGuardOptions.cs","69","throw new","throw new System.ArgumentOutOfRangeException(nameof(this.MaxConnections), ""MaxConnections must be -1 (unlimited) or positive."");"
"Nalix.Network\Options\ConnectionGuardOptions.cs","74","throw new","throw new System.ArgumentOutOfRangeException(nameof(this.BanDuration), ""BanDuration must be at least 1 second and at most 1 day."");"
"Nalix.Network\Options\ConnectionGuardOptions.cs","79","throw new","throw new System.ArgumentOutOfRangeException(nameof(this.DDoSLogSuppressWindow), ""DDoSLogSuppressWindow must be between 1 second and 1 hour."");"
"Nalix.Network\Options\ConnectionGuardOptions.cs","84","throw new","throw new System.ArgumentOutOfRangeException(nameof(this.MaxErrorThreshold), ""MaxErrorThreshold must be at least 1."");"
"Nalix.Network\Options\ConnectionGuardOptions.cs","89","throw new","throw new System.ArgumentOutOfRangeException(nameof(this.MaxPacketPerSecond), ""MaxPacketPerSecond must be between 1 and 10,000,000."");"
"Nalix.Network\Options\ConnectionHubOptions.cs","56","throw new","throw new System.ArgumentOutOfRangeException(nameof(this.ParallelDisconnectDegree), ""ParallelDisconnectDegree cannot be zero. Use -1 for default or a positive value."");"
"Nalix.Network\Options\NetworkCallbackOptions.cs","149","throw new","throw new System.ArgumentException("
"Nalix.Network\Options\NetworkCallbackOptions.cs","156","throw new","throw new System.ArgumentException("
"Nalix.Network\Options\NetworkCallbackOptions.cs","163","throw new","throw new System.ArgumentException("
"Nalix.Network\Options\NetworkSocketOptions.cs","37","throw new","throw new System.ArgumentOutOfRangeException(nameof(value), ""Port must be at least 1 (0 is not allowed)."");"
"Nalix.Network\Options\PoolingOptions.cs","194","throw new","throw new System.ArgumentException("
"Nalix.Network\Protocols\Protocol.Core.cs","81","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\Protocols\Protocol.PublicMethods.cs","106","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException ex)"
"Nalix.Network\Protocols\Protocol.PublicMethods.cs","119","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\RateLimiting\Connection.Guard.Cleanup.cs","233","catch\s*\(\s*Exception","catch (Exception ex) when (ex is not ObjectDisposedException)"
"Nalix.Network\RateLimiting\Connection.Guard.Cleanup.cs","340","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\RateLimiting\Connection.Guard.Cleanup.cs","369","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\RateLimiting\Connection.Guard.Cleanup.cs","422","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\RateLimiting\Connection.Guard.cs","843","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Network\RateLimiting\Datagram.Guard.cs","246","catch\s*\(\s*ObjectDisposedException","catch (ObjectDisposedException ex)"
"Nalix.Network\RateLimiting\Datagram.Guard.cs","253","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Runtime\Dispatching\InlinePacketDispatcher.cs","178","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Runtime\Dispatching\InlinePacketDispatcher.cs","211","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Runtime\Dispatching\PacketDispatchChannel.cs","186","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Runtime\Dispatching\PacketDispatchChannel.cs","201","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Runtime\Dispatching\PacketDispatchChannel.cs","215","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Runtime\Dispatching\PacketDispatchChannel.cs","523","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
